johnmurphy@Johns-MacBook-Pro stephen-python-words % python3 03\ based\ on\ individual\ buys\ strategy\ copy.py 
Word: WORDSCOREN3, Mean Trend (%): 5.089734179127057
Word: HOTTHINGHUGEDOWN, Mean Trend (%): 5.069743783308925
Word: ZSCORESUMGT300, Mean Trend (%): 5.036142971204513
Word: fiveToTen, Mean Trend (%): 5.0284456945830724
Word: PDOLVOLLT50M, Mean Trend (%): 4.958393286925895
Word: SUPERSTRONG_FIVEMINUTERSIOFFSET, Mean Trend (%): 4.937791487959675
Word: SHORTINTERESTLT3, Mean Trend (%): 4.9055970877434545
Word: HOTTHINGRETURNPERCTRENDLTN3, Mean Trend (%): 4.832371286595915
Word: HOTTHINGZSCORESUMGT800, Mean Trend (%): 4.82534613638876
Word: RECZSCOREDIFFN320, Mean Trend (%): 4.761625888875283
Word: FIFTY_LOWERTSOFFSET, Mean Trend (%): 4.7171759978340875
Word: WORDMULT150, Mean Trend (%): 4.715127701374276
Word: AVGWORDPERC50, Mean Trend (%): 4.583120594249515
Word: WORDSCORE12, Mean Trend (%): 4.5795035312026675
Word: SUPERSTRONG_LOWERTSOFFSET, Mean Trend (%): 4.546952821661262
Word: ZSCORESUMGT1400, Mean Trend (%): 4.5212062567796565
Word: down30, Mean Trend (%): 4.493611109933903
Word: HOTTHINGTICKERRECSSHOULDBUY, Mean Trend (%): 4.414652276461998
Word: DTSCORELTNEG200, Mean Trend (%): 4.407664993696486
Word: POSITIONWORDANALYSISSINGLEGTE2, Mean Trend (%): 4.3288967280983135
Word: WORDSCORE13, Mean Trend (%): 4.325279963542923
Word: LOWESTAVGWORDPERC, Mean Trend (%): 4.26709401884238
Word: SHORTINTERESTOFOSLT1, Mean Trend (%): 4.262574098769438
Word: PSWORDPERC45, Mean Trend (%): 4.153828854835519
Word: RETURNGT1, Mean Trend (%): 4.070850020845901
Word: HOTCOUNTWORD3, Mean Trend (%): 4.033255049699532
Word: avg, Mean Trend (%): 4.009772923253755
Word: downer, Mean Trend (%): 4.009772923253755
Word: holds, Mean Trend (%): 4.009772923253755
Word: isLessThan5Min, Mean Trend (%): 4.009772923253755
Word: zScoregt150, Mean Trend (%): 4.009772923253755
Word: HOTTHINGRECZSCOREDIFFGTRECZSCOREHIGHLIMIT, Mean Trend (%): 3.9638630030097266
Word: HOTCOUNTWORD7, Mean Trend (%): 3.9572095019028937
Word: SPLITWF, Mean Trend (%): 3.9006171258821007
Word: straightDown30, Mean Trend (%): 3.74260476506928
Word: REVERSE SPLITWF, Mean Trend (%): 3.6732195919737425
Word: SUPERSTRONG_RSIOFFSET, Mean Trend (%): 3.6233121080751296
Word: rsilt20, Mean Trend (%): 3.5973399950819243
Word: HOTCOUNTWORD4, Mean Trend (%): 3.5940439054169797
Word: RECZSCOREDIFFN480, Mean Trend (%): 3.5268606666233806
Word: WORDSCORE7, Mean Trend (%): 3.511856115620249
Word: INFLATIONCOUNTGT50, Mean Trend (%): 3.463052098948568
Word: WORDSCOREN6, Mean Trend (%): 3.433387975524046
Word: ZSCORESUMGT900, Mean Trend (%): 3.419172148026335
Word: HOTCOUNTWORD9, Mean Trend (%): 3.3825440266335227
Word: SUPERSTRONG_RECENTPICKTRENDOFFSET, Mean Trend (%): 3.3718446758427225
Word: POSITIONWORDANALYSISSINGLEGTEN1, Mean Trend (%): 3.3619388131927748
Word: ACTONBUYMULT, Mean Trend (%): 3.331792373237777
Word: POSITIONWORDANALYSISWORDPERC40, Mean Trend (%): 3.308357228327067
Word: WORDSCORE0, Mean Trend (%): 3.2619199240507286
Word: RETURNGTNEG12, Mean Trend (%): 3.224683044283785
Word: SHORTINTERESTOFOSLT40, Mean Trend (%): 3.1160325475164363
Word: HOTTHINGINFLATIONCOUNTGT30, Mean Trend (%): 3.0698606469792997
Word: WORDSCORE22, Mean Trend (%): 3.055166150045324
Word: AVGWORDPERC60, Mean Trend (%): 3.0283641837316444
Word: SUPERSTRONG_TODAYPICKOFFSET, Mean Trend (%): 2.9329438609907577
Word: POB0, Mean Trend (%): 2.9062148295814447
Word: BREAKTHROUGHWF, Mean Trend (%): 2.89945827652227
Word: ZSCORESUMGT1100, Mean Trend (%): 2.8894432878280396
Word: SINGLEWORDPERC50, Mean Trend (%): 2.703914098097207
Word: POB80, Mean Trend (%): 2.651725777189779
